Date-Time,Focal,Weather,Temperature (F),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),1,2,3,4,5,6,7,8,DEL 1,DEL 2,DEL 3,DEL 4,DEL 5,DEL 6,DEL 7,DEL 8,CBR 1,CBR 2,CBR 3,CBR 4,CBR 5,CBR 6,CBR 7,CBR 8,PHA 1,PHA 2,PHA 3,PHA 4,PHA 5,PHA 6,PHA 7,PHA 8,LAU 1,LAU 2,LAU 3,LAU 4,LAU 5,LAU 6,LAU 7,LAU 8,JJO 1,JJO 2,JJO 3,JJO 4,JJO 5,JJO 6,JJO 7,JJO 8,Notes,Added Time,Referrer Name,Task Owner
07/30/2026 11:04 AM,Delilah,Sunny,84,425,431,Stress-Related - Vigilance,,440,454,Stress-Related - Self-groom,,751,823,Stress-Related - Self-groom,,823,830,Stress-Related - Vigilance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rest,Rest,Rest,Rest,Other,Rest,Rest,Rest,,,,,,,,,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,,07/31/2026 11:30:44,,methall@wisc.edu
07/30/2026 10:48 AM,Pearl Hart,Sunny,84,0,106,Affiliative - Contact sit,Charlie Brown,0,102,Affiliative - Mutual grooming,Charlie Brown,108,139,Affiliative - Give grooming,Janis Joplin,140,328,Affiliative - Contact sit,Janis Joplin,142,225,Affiliative - Mutual grooming,Janis Joplin,250,311,Affiliative - Mutual grooming,Janis Joplin,337,341,Stress-Related - Self-scratch,,356,400,Stress-Related - Self-scratch,,438,447,Stress-Related - Self-groom,,652,701,Stress-Related - Vigilance,,720,815,Stress-Related - Vigilance,,1310,1325,Stress-Related - Vigilance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Social,Social,Other,Rest,Other,Rest,Rest,Rest,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,Body contact,Less than 2 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,,,,,,,,,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,Less than 2 m,Body contact,Less than 2 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,,07/31/2026 11:30:32,,methall@wisc.edu
07/30/2026 02:01 PM,Laurel,Sunny,87,22,26,Stress-Related - Self-scratch,,659,703,Stress-Related - Vigilance,,703,708,Stress-Related - Self-groom,,722,738,Stress-Related - Self-groom,,740,742,Stress-Related - Yawn,,754,756,Stress-Related - Head throw-back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Rest,Rest,Rest,Other,Rest,Rest,Rest,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,,,,,,,,,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,,07/30/2026 14:25:35,,methall@wisc.edu
07/30/2026 01:48 PM,Pearl Hart,Sunny,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rest,Rest,Rest,Rest,Other,Rest,Rest,Rest,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,,,,,,,,,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,,07/30/2026 14:25:34,,methall@wisc.edu
07/30/2026 01:37 PM,Laurel,Sunny,87,727,822,Stress-Related - Self-groom,,823,826,Stress-Related - Yawn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,,,,,,,,,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,,07/30/2026 14:25:33,,methall@wisc.edu
07/30/2026 01:22 PM,Janis Joplin,Sunny,87,0,610,Affiliative - Contact sit,Pearl Hart,13,17,Stress-Related - Vigilance,,120,128,Stress-Related - Vigilance,,153,209,Stress-Related - Vigilance,,421,439,Stress-Related - Self-groom,,455,501,Stress-Related - Vigilance,,501,524,Stress-Related - Self-groom,,526,536,Affiliative - Receive grooming,Pearl Hart,614,637,Affiliative - Contact sit,Laurel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rest,Other,Rest,Rest,Rest,Rest,Rest,Rest,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,Body contact,Body contact,Body contact,Body contact,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,,,,,,,,,,07/30/2026 14:25:31,,methall@wisc.edu
07/30/2026 11:19 AM,Janis Joplin,Sunny,84,1205,1213,Stress-Related - Self-groom,,1237,1240,Stress-Related - Yawn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,,,,,,,,,,07/30/2026 14:25:30,,methall@wisc.edu
07/30/2026 10:30 AM,Laurel,Sunny,83,236,425,Affiliative - Mutual grooming,Pearl Hart,341,433,Affiliative - Contact sit,,444,500,Stress-Related - Self-groom,,500,505,Stress-Related - Vigilance,,505,529,Stress-Related - Self-groom,,602,617,Stress-Related - Self-groom,,617,633,Stress-Related - Vigilance,,715,740,Stress-Related - Self-groom,,802,811,Stress-Related - Self-groom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rest,Rest,Social,Other,Other,Rest,Rest,Rest,2-5 m,2-5 m,2-5 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,Over 5 m,Over 5 m,Over 5 m,2-5 m,2-5 m,,,,,,,,,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,,07/30/2026 11:49:10,,methall@wisc.edu
07/30/2026 10:04 AM,Janis Joplin,Sunny,83,0,102,Affiliative - Contact sit,,0,57,Affiliative - Mutual grooming,Delilah,107,208,Stress-Related - Self-groom,,221,311,Stress-Related - Self-groom,,444,447,Stress-Related - Vigilance,,549,558,Stress-Related - Vigilance,,900,904,Stress-Related - Self-groom,,907,911,Affiliative - Receive grooming,Pearl Hart,917,921,Affiliative - Mutual grooming,Pearl Hart,921,940,Affiliative - Receive grooming,Pearl Hart,902,957,Affiliative - Contact sit,Pearl Hart,1001,1443,Affiliative - Contact sit,Charlie Brown,1001,1127,Affiliative - Mutual grooming,Charlie Brown,1127,1135,Stress-Related - Vigilance,,1135,1207,Affiliative - Mutual grooming,Charlie Brown,1207,1215,Stress-Related - Self-groom,,1215,1230,Affiliative - Mutual grooming,Charlie Brown,1230,1253,Affiliative - Give grooming,Charlie Brown,1253,1321,Affiliative - Mutual grooming,Charlie Brown,1321,1331,Stress-Related - Self-groom,,1345,1351,Stress-Related - Self-groom,,1351,1400,Stress-Related - Vigilance,,1400,1415,Stress-Related - Self-groom,,1415,1423,Stress-Related - Vigilance,,1423,1430,Stress-Related - Self-scratch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Social,Other,Rest,Rest,Rest,Social,Social,Other,Body contact,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,2-5 m,2-5 m,2-5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Body contact,Body contact,Body contact,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,Over 5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,,,,,,,,,,07/30/2026 11:49:09,,methall@wisc.edu
07/23/2026 04:01 PM,Laurel,Sunny,90,0,113,Affiliative - Give grooming,Delilah,139,700,Affiliative - Contact sit,Charlie Brown,145,406,Affiliative - Mutual grooming,Charlie Brown,406,428,Affiliative - Receive grooming,Charlie Brown,428,503,Affiliative - Mutual grooming,Charlie Brown,525,650,Affiliative - Give grooming,Charlie Brown,650,703,Stress-Related - Self-groom,,709,717,Stress-Related - Self-groom,,733,746,Stress-Related - Self-groom,,837,840,Stress-Related - Head throw-back,,849,1032,Affiliative - Mutual grooming,Charlie Brown,1044,1050,Stress-Related - Self-groom,,1057,1101,Stress-Related - Self-groom,,1320,1325,Stress-Related - Self-groom,,1330,1500,Stress-Related - Vigilance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Social,Social,Social,Social,Other,Social,Rest,Other,Body contact,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,2-5 m,Body contact,Body contact,Body contact,Less than 2 m,Body contact,Less than 2 m,2-5 m,2-5 m,2-5 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,2-5 m,,,,,,,,,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,2-5 m,,07/23/2026 16:24:14,,methall@wisc.edu
