Date-Time,Focal,Weather,Temperature (F),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),1,2,3,4,5,6,7,8,AST 1,AST 2,AST 3,AST 4,AST 5,AST 6,AST 7,AST 8,ASH 1,ASH 2,ASH 3,ASH 4,ASH 5,ASH 6,ASH 7,ASH 8,SEL 1,SEL 2,SEL 3,SEL 4,SEL 5,SEL 6,SEL 7,SEL 8,Notes,Added Time,Referrer Name,Task Owner
07/31/2026 12:03 PM,Selene,Sunny,90,0,1048,Affiliative - Contact sit,Asteria,8,152,Affiliative - Mutual grooming,Asteria,154,208,Stress-Related - Self-groom,,211,220,Affiliative - Play,Asteria,235,242,Stress-Related - Self-groom,,242,247,Stress-Related - Self-scratch,,247,249,Stress-Related - Head throw-back,,251,256,Affiliative - Play,Asteria,303,350,Stress-Related - Self-groom,,350,400,Affiliative - Play,Asteria,400,446,Affiliative - Mutual grooming,Asteria,446,459,Stress-Related - Vigilance,,459,505,Stress-Related - Self-scratch,,515,630,Affiliative - Mutual grooming,Asteria,640,642,Stress-Related - Head throw-back,,642,719,Stress-Related - Self-groom,,806,818,Stress-Related - Self-groom,,828,835,Affiliative - Play,Asteria,838,842,Stress-Related - Self-scratch,,858,952,Stress-Related - Self-groom,,958,1003,Stress-Related - Self-scratch,,1010,1041,Stress-Related - Self-groom,,1134,1500,Affiliative - Contact sit,Asteria,1150,1210,Stress-Related - Self-groom,,1220,1236,Stress-Related - Self-groom,,1243,1500,Affiliative - Give grooming,Asteria,,,,,,,,,,,,,,,,,,,,,,,,,Social,Other,Social,Social,Other,Other,Other,Social,Body contact,Body contact,Body contact,Body contact,Body contact,Body contact,Body contact,Body contact,Over 5 m,Over 5 m,Over 5 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,,,,,,,,,,07/31/2026 12:18:42,,methall@wisc.edu
07/31/2026 11:46 AM,Ash,Sunny,90,305,329,Stress-Related - Vigilance,,338,356,Stress-Related - Self-groom,,445,454,Stress-Related - Vigilance,,503,517,Stress-Related - Vigilance,,534,541,Stress-Related - Vigilance,,733,742,Stress-Related - Self-groom,,825,838,Stress-Related - Vigilance,,852,857,Stress-Related - Self-groom,,1319,1500,Stress-Related - Vigilance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rest,Rest,Other,Rest,Rest,Rest,Rest,Other,Less than 2 m,Less than 2 m,Less than 2 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,,,,,,,,,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,,07/31/2026 11:59:30,,methall@wisc.edu
07/31/2026 11:31 AM,Asteria,Sunny,90,0,317,Affiliative - Contact sit,Ash,0,22,Affiliative - Mutual grooming,Ash,22,32,Affiliative - Receive grooming,Ash,32,229,Affiliative - Mutual grooming,Ash,235,240,Affiliative - Receive grooming,Ash,322,336,Stress-Related - Vigilance,,340,346,Stress-Related - Vigilance,,427,448,Stress-Related - Vigilance,,518,533,Stress-Related - Vigilance,,636,859,Stress-Related - Vigilance,,1032,1045,Stress-Related - Vigilance,,1052,1105,Stress-Related - Vigilance,,1113,1246,Affiliative - Contact sit,Selene,1117,1144,Stress-Related - Vigilance,,1150,1233,Affiliative - Mutual grooming,Selene,1233,1246,Stress-Related - Vigilance,,1305,1334,Stress-Related - Vigilance,,1419,1429,Stress-Related - Vigilance,,1434,1449,Stress-Related - Vigilance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Social,Social,Other,Other,Other,Other,Social,Rest,,,,,,,,,Body contact,Body contact,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Less than 2 m,Less than 2 m,Less than 2 m,2-5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Body contact,Less than 2 m,,07/31/2026 11:46:16,,methall@wisc.edu
07/27/2026 03:43 PM,Ash,Sunny,93,906,910,Stress-Related - Self-scratch,,915,917,Stress-Related - Yawn,,1017,1100,Stress-Related - Vigilance,,1224,1227,Stress-Related - Vigilance,,1312,1317,Stress-Related - Vigilance,,1324,1353,Stress-Related - Vigilance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rest,Rest,Rest,Rest,Rest,Other,Other,Other,2-5 m,2-5 m,2-5 m,2-5 m,Over 5 m,Less than 2 m,Less than 2 m,2-5 m,,,,,,,,,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,Less than 2 m,2-5 m,2-5 m,,07/27/2026 15:58:54,,methall@wisc.edu
07/27/2026 03:31 PM,Asteria,Sunny,93,0,144,Stress-Related - Vigilance,,217,539,Stress-Related - Vigilance,,520,556,Affiliative - Contact sit,Selene,556,658,Stress-Related - Vigilance,,627,702,Affiliative - Contact sit,Selene,815,822,Stress-Related - Vigilance,,846,849,Stress-Related - Vigilance,,1122,1124,Stress-Related - Vigilance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other,Other,Rest,Rest,Rest,Rest,,,,,,,,,Over 5 m,Over 5 m,Over 5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,Over 5 m,2-5 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,,07/27/2026 15:43:44,,methall@wisc.edu
07/27/2026 03:16 PM,Selene,Sunny,93,0,101,Stress-Related - Vigilance,,42,45,Submission - Be displaced,Asteria,215,224,Stress-Related - Self-groom,,246,412,Stress-Related - Vigilance,,306,308,Stress-Related - Head throw-back,,332,334,Stress-Related - Head throw-back,,415,415,Stress-Related - Head throw-back,,656,1300,Affiliative - Contact sit,Asteria,1213,1215,Stress-Related - Vigilance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other,Rest,Rest,Rest,Rest,Rest,2-5 m,2-5 m,2-5 m,2-5 m,Body contact,Body contact,Body contact,2-5 m,Over 5 m,Over 5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,,,,,,,,,,07/27/2026 15:31:06,,methall@wisc.edu
07/27/2026 02:46 PM,Asteria,Sunny,93,302,310,Stress-Related - Vigilance,,521,524,Stress-Related - Vigilance,,829,833,Stress-Related - Vigilance,,845,847,Stress-Related - Yawn,,855,858,Stress-Related - Yawn,,,,,,916,1043,Stress-Related - Vigilance,,1054,1108,Stress-Related - Vigilance,,1136,1148,Stress-Related - Vigilance,,1219,1227,Stress-Related - Vigilance,,1249,1500,Stress-Related - Vigilance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rest,Rest,Rest,Rest,Rest,Other,Other,Other,,,,,,,,,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,Over 5 m,Over 5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,Over 5 m,Over 5 m,,07/27/2026 14:59:52,,methall@wisc.edu
07/27/2026 02:31 PM,Ash,Sunny,92,641,644,Stress-Related - Yawn,,809,811,Stress-Related - Yawn,,821,841,Affiliative - Contact sit,Selene,841,853,Stress-Related - Vigilance,,857,933,Affiliative - Contact sit,Selene,953,1153,Affiliative - Contact sit,Selene,1237,1244,Stress-Related - Self-groom,,1332,1347,Stress-Related - Self-groom,,1353,1433,Stress-Related - Self-groom,,1439,1457,Stress-Related - Self-groom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rest,Rest,Rest,Rest,Rest,Rest,Other,Other,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,,,,,,,,,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Body contact,Less than 2 m,Less than 2 m,,07/27/2026 14:46:30,,methall@wisc.edu
07/27/2026 02:19 PM,Selene,Sunny,92,0,1100,Affiliative - Contact sit,Ash,843,853,Affiliative - Receive grooming,Asteria,850,921,Affiliative - Contact sit,Asteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rest,Rest,Rest,Rest,Rest,Rest,Rest,,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,2-5 m,Over 5 m,Over 5 m,Body contact,Body contact,Body contact,Body contact,Body contact,Body contact,Less than 2 m,Less than 2 m,,,,,,,,,,07/27/2026 14:31:55,,methall@wisc.edu
07/27/2026 12:03 PM,Ash,Sunny,89,0,1113,Affiliative - Contact sit,Selene,215,305,Stress-Related - Self-groom,,316,329,Stress-Related - Self-groom,,334,420,Stress-Related - Self-groom,,420,426,Stress-Related - Vigilance,,439,530,Affiliative - Mutual grooming,Selene,530,538,Stress-Related - Vigilance,,540,917,Affiliative - Mutual grooming,Selene,915,924,Affiliative - Give grooming,Selene,924,1022,Affiliative - Mutual grooming,Selene,1033,1051,Affiliative - Mutual grooming,Selene,1051,1057,Affiliative - Give grooming,Selene,1445,1500,Stress-Related - Self-groom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rest,Rest,Other,Social,Social,Social,Rest,Rest,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,,,,,,,,,Body contact,Body contact,Body contact,Body contact,Body contact,Body contact,Less than 2 m,Over 5 m,,07/27/2026 12:17:42,,methall@wisc.edu
