Date-Time,Focal,Weather,Temperature (F),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),1,2,3,4,5,6,7,8,AUT 1,AUT 2,AUT 3,AUT 4,AUT 5,AUT 6,AUT 7,AUT 8,POL 1,POL 2,POL 3,POL 4,POL 5,POL 6,POL 7,POL 8,CHA 1,CHA 2,CHA 3,CHA 4,CHA 5,CHA 6,CHA 7,CHA 8,TCH 1,TCH 2,TCH 3,TCH 4,TCH 5,TCH 6,TCH 7,TCH 8,Notes,Added Time,Referrer Name,Task Owner
05/14/2026 01:25 PM,Tracy Champan,Sunny,80,0,33,Affiliative - Mutual grooming,Chagall,0,1500,Affiliative - Contact sit,Chagall,610,614,Stress-Related - Vigilance,,615,630,Stress-Related - Self-groom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Social,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Body contact,Body contact,Body contact,Body contact,Body contact,Body contact,Body contact,Body contact,,,,,,,,,,05/14/2026 20:32:55,,methall@wisc.edu
05/14/2026 01:42 PM,Chagall,Sunny,80,0,425,Affiliative - Contact sit,Tracy Chapman,58,110,Stress-Related - Vigilance,,150,210,Affiliative - Give grooming,Tracy Chapman,440,502,Stress-Related - Vigilance,,642,645,Stress-Related - Yawn,,635,715,Stress-Related - Vigilance,,742,750,Stress-Related - Self-groom,,804,810,Affiliative - Receive grooming,Tracy Chapman,810,840,Affiliative - Give grooming,Tracy Chapman,928,934,Stress-Related - Self-scratch,,934,950,Stress-Related - Self-groom,,1000,1040,Affiliative - Mutual grooming,Tracy Chapman,1040,1215,Affiliative - Give grooming,Tracy Chapman,1248,1252,Stress-Related - Self-scratch,,1325,1337,Stress-Related - Self-groom,,1345,1405,Stress-Related - Vigilance,,1420,1500,Stress-Related - Vigilance,,1000,1500,Affiliative - Contact sit,Tracy Chapman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rest,Social,Rest,Social,Rest,Rest,Rest,Other,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,,,,,,,,,Body contact,Body contact,Body contact,Less than 2 m,Less than 2 m,Body contact,Less than 2 m,Less than 2 m,,05/14/2026 20:43:00,,methall@wisc.edu
05/14/2026 02:20 PM,Tracy Champan,Sunny,82,0,200,Affiliative - Contact sit,Chagall,0,102,Affiliative - Mutual grooming,Chagall,125,148,Affiliative - Receive grooming,Chagall,330,354,Affiliative - Mutual grooming,Chagall,350,410,Affiliative - Receive grooming,Chagall,410,430,Affiliative - Give grooming,Chagall,500,512,Stress-Related - Self-scratch,,530,543,Stress-Related - Self-groom,,615,627,Stress-Related - Self-groom,,635,643,Stress-Related - Self-scratch,,657,702,Stress-Related - Self-scratch,,715,730,Stress-Related - Vigilance,,820,904,Stress-Related - Vigilance,,904,936,Stress-Related - Self-groom,,936,1020,Stress-Related - Vigilance,,1130,1220,Stress-Related - Vigilance,,1320,1323,Stress-Related - Self-scratch,,1323,1437,Stress-Related - Self-groom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Social,Rest,Social,Other,Rest,Other,Other,Other,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Body contact,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,,,,,,,,,,05/14/2026 20:52:15,,methall@wisc.edu
05/14/2026 02:39 PM,Polli,Cloudy,82,0,200,Affiliative - Contact sit,Autumn,0,15,Affiliative - Mutual grooming,Autumn,43,54,Stress-Related - Self-groom,,112,145,Affiliative - Give grooming,Autumn,200,221,Stress-Related - Vigilance,,221,250,Affiliative - Mutual grooming,Autumn,250,304,Stress-Related - Self-scratch,,320,330,Stress-Related - Vigilance,,330,340,Stress-Related - Self-groom,,340,351,Stress-Related - Vigilance,,651,658,Affiliative - Greet,Chagall,900,907,Stress-Related - Self-scratch,,1048,1053,Stress-Related - Self-scratch,,1358,1406,Affiliative - Receive grooming,Chagall,1421,1436,Stress-Related - Self-groom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Social,Rest,Rest,Locomotion,Locomotion,Rest,Rest,Rest,Body contact,Body contact,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,,,,,,,,,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Less than 2 m,Less than 2 m,Less than 2 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,2-5 m,,05/14/2026 21:00:28,,methall@wisc.edu
05/14/2026 02:54 PM,Autumn,Sunny,82,250,253,Stress-Related - Self-scratch,,402,410,Stress-Related - Self-scratch,,410,439,Stress-Related - Self-groom,,454,508,Stress-Related - Self-groom,,757,802,Stress-Related - Self-scratch,,910,926,Stress-Related - Self-groom,,939,943,Stress-Related - Self-groom,,1110,1145,Stress-Related - Vigilance,,1330,1334,Stress-Related - Vigilance,,1438,1442,Stress-Related - Self-groom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rest,Rest,Other,Rest,Rest,Locomotion,Rest,Rest,,,,,,,,,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,,05/14/2026 21:05:26,,methall@wisc.edu
05/14/2026 03:14 PM,Chagall,Sunny,82,0,10,Affiliative - Greet,Autumn,10,27,Stress-Related - Vigilance,,500,524,Stress-Related - Vigilance,,650,715,Stress-Related - Vigilance,,938,1050,Stress-Related - Vigilance,,1237,1315,Stress-Related - Vigilance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Social,Rest,Rest,Rest,Rest,Other,Locomotion,Other,Body contact,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,,,,,,,,,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,,05/14/2026 21:09:26,,methall@wisc.edu
05/14/2026 03:32 PM,Polli,Sunny,82,50,55,Stress-Related - Vigilance,,203,313,Stress-Related - Vigilance,,454,508,Stress-Related - Vigilance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Locomotion,Other,Locomotion,Other,Rest,Locomotion,Rest,Rest,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,2-5 m,2-5 m,,,,,,,,,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,2-5 m,2-5 m,2-5 m,Over 5 m,Over 5 m,Less than 2 m,Over 5 m,Over 5 m,2-5 m,2-5 m,,05/14/2026 21:12:29,,methall@wisc.edu
05/15/2026 09:51 AM,Chagall,Sunny,80,47,127,Affiliative - Mutual grooming,Polli,146,224,,Polli,236,351,Stress-Related - Self-groom,,428,452,Stress-Related - Self-groom,,508,547,Stress-Related - Self-groom,,610,617,Stress-Related - Self-scratch,,645,658,Affiliative - Contact sit,Tracy Chapman,708,726,Affiliative - Give grooming,Tracy Chapman,726,748,Affiliative - Mutual grooming,Tracy Chapman,818,849,Affiliative - Contact sit,Tracy Chapman,830,849,Stress-Related - Self-groom,,905,930,Stress-Related - Self-groom,,1017,1128,Stress-Related - Vigilance,,1228,1358,Stress-Related - Vigilance,,1400,1413,Stress-Related - Self-groom,,1413,1434,Stress-Related - Vigilance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rest,Social,Rest,Rest,Social,Rest,Rest,Other,Less than 2 m,2-5 m,Less than 2 m,Less than 2 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,Body contact,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,,,,,,,,,Over 5 m,Less than 2 m,Less than 2 m,2-5 m,Body contact,Less than 2 m,Less than 2 m,Less than 2 m,,05/16/2026 10:04:11,,methall@wisc.edu
05/15/2026 10:07 AM,Tracy Champan,Sunny,80,10,17,Stress-Related - Vigilance,,17,113,Stress-Related - Self-groom,,127,230,Affiliative - Give grooming,Chagall,230,240,Affiliative - Mutual grooming,Chagall,127,755,Affiliative - Contact sit,Chagall,313,453,Affiliative - Give grooming,Chagall,453,520,Affiliative - Mutual grooming,Chagall,520,543,Affiliative - Give grooming,Chagall,648,733,Affiliative - Mutual grooming,Chagall,856,919,Stress-Related - Vigilance,,1142,1150,Stress-Related - Vigilance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Social,Social,Rest,Rest,Rest,Rest,Rest,2-5 m,2-5 m,2-5 m,2-5 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Over 5 m,Over 5 m,Over 5 m,2-5 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Body contact,Body contact,Body contact,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,,,,,,,,,,05/16/2026 10:04:17,,methall@wisc.edu
05/15/2026 10:23 AM,Autumn,Sunny,80,0,16,Stress-Related - Self-groom,,16,37,Stress-Related - Vigilance,,228,241,Stress-Related - Vigilance,,458,504,Stress-Related - Vigilance,,544,552,Stress-Related - Vigilance,,645,831,Stress-Related - Vigilance,,841,846,Stress-Related - Self-groom,,940,1135,Affiliative - Contact sit,Polli,950,1020,Affiliative - Mutual grooming,Polli,1038,1135,Affiliative - Mutual grooming,Polli,1145,1230,Affiliative - Mutual grooming,Polli,1145,1500,Affiliative - Contact sit,Polli,1230,1148,Affiliative - Give grooming,Polli,1148,1500,Affiliative - Mutual grooming,Polli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rest,Rest,Rest,Rest,Other,Social,Social,Social,,,,,,,,,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,2-5 m,Body contact,Body contact,Body contact,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,2-5 m,2-5 m,2-5 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,2-5 m,2-5 m,2-5 m,2-5 m,,05/16/2026 10:04:22,,methall@wisc.edu
