Date-Time,Focal,Weather,Temperature (F),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),1,2,3,4,5,6,7,8,MAR 1,MAR 2,MAR 3,MAR 4,MAR 5,MAR 6,MAR 7,MAR 8,MAY 1,MAY 2,MAY 3,MAY 4,MAY 5,MAY 6,MAY 7,MAY 8,DDA 1,DDA 2,DDA 3,DDA 4,DDA 5,DDA 6,DDA 7,DDA 8,Notes,Added Time,Referrer Name,Task Owner
07/28/2026 10:07 AM,Marla,Cloudy,85,12,16,Stress-Related - Self-groom,,16,48,Stress-Related - Vigilance,,111,114,Stress-Related - Self-groom,,124,128,Stress-Related - Self-groom,,128,145,Stress-Related - Vigilance,,145,150,Stress-Related - Self-scratch,,150,207,Stress-Related - Vigilance,,315,330,Stress-Related - Vigilance,,519,708,Affiliative - Contact sit,May Lillie,522,600,Affiliative - Mutual grooming,May Lillie,600,640,Affiliative - Give grooming,May Lillie,640,708,Affiliative - Mutual grooming,May Lillie,710,735,Stress-Related - Self-groom,,750,755,Submission - Be displaced,Delta Dawn,755,810,Stress-Related - Self-groom,,1057,1102,Stress-Related - Self-scratch,,1110,1115,Stress-Related - Self-groom,,1115,1134,Stress-Related - Vigilance,,1209,1230,Stress-Related - Self-groom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Locomotion,Social,Other,Rest,Other,Rest,,,,,,,,,Over 5 m,Over 5 m,2-5 m,Body contact,Less than 2 m,Less than 2 m,2-5 m,2-5 m,Over 5 m,Over 5 m,2-5 m,2-5 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,,07/31/2026 11:30:15,,methall@wisc.edu
07/28/2026 02:37 PM,May Lillie,Sunny,96,0,11,Stress-Related - Vigilance,,155,220,Stress-Related - Vigilance,,220,252,Stress-Related - Self-groom,,252,308,Stress-Related - Vigilance,,308,313,Stress-Related - Self-scratch,,324,452,Affiliative - Give grooming,Delta Dawn,452,505,Affiliative - Mutual grooming,Delta Dawn,505,608,Affiliative - Give grooming,Delta Dawn,608,611,Affiliative - Receive grooming,Delta Dawn,629,723,Affiliative - Contact sit,Delta Dawn,729,745,Stress-Related - Self-groom,,745,809,Stress-Related - Vigilance,,809,816,Stress-Related - Self-scratch,,816,821,Stress-Related - Vigilance,,825,945,Affiliative - Contact sit,Delta Dawn,829,857,Affiliative - Give grooming,Delta Dawn,857,932,Affiliative - Mutual grooming,Delta Dawn,932,941,Affiliative - Give grooming,Delta Dawn,941,1001,Affiliative - Mutual grooming,Delta Dawn,1001,1015,Affiliative - Give grooming,Delta Dawn,1015,1146,Affiliative - Mutual grooming,Delta Dawn,1146,1344,Affiliative - Receive grooming,Delta Dawn,1146,1212,Stress-Related - Vigilance,,1357,1436,Stress-Related - Self-groom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Social,Social,Other,Social,Social,Other,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,,,,,,,,,Less than 2 m,Less than 2 m,Body contact,Body contact,Less than 2 m,Body contact,Body contact,2-5 m,,07/28/2026 15:00:42,,methall@wisc.edu
07/28/2026 02:23 PM,Marla,Sunny,96,246,308,Stress-Related - Vigilance,,308,334,Stress-Related - Self-groom,,503,511,Stress-Related - Vigilance,,1202,1210,Stress-Related - Vigilance,,1218,1225,Stress-Related - Self-groom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rest,Rest,Other,Rest,Rest,Rest,Rest,Rest,,,,,,,,,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,2-5 m,2-5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,,07/28/2026 15:00:40,,methall@wisc.edu
07/28/2026 02:10 PM,Delta Dawn,Sunny,96,339,341,Stress-Related - Vigilance,,747,807,Stress-Related - Self-groom,,813,912,Stress-Related - Self-groom,,916,924,Stress-Related - Self-scratch,,924,1021,Stress-Related - Self-groom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rest,Rest,Rest,Rest,Other,Other,Rest,Rest,Less than 2 m,Less than 2 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,,,,,,,,,,07/28/2026 15:00:39,,methall@wisc.edu
07/28/2026 01:54 PM,May Lillie,Sunny,96,0,135,Stress-Related - Vigilance,,135,139,Stress-Related - Self-groom,,139,251,Stress-Related - Vigilance,,253,259,Stress-Related - Self-groom,,259,806,Stress-Related - Vigilance,,905,912,Stress-Related - Vigilance,,931,935,Stress-Related - Vigilance,,1015,1022,Stress-Related - Vigilance,,1217,1300,Stress-Related - Vigilance,,1300,1305,Stress-Related - Self-groom,,1305,1326,Stress-Related - Vigilance,,1328,1414,Affiliative - Contact sit,Marla,1330,1400,Affiliative - Mutual grooming,Marla,1426,1439,Stress-Related - Self-groom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other,Other,Other,Other,Locomotion,Social,Over 5 m,2-5 m,2-5 m,2-5 m,Over 5 m,Over 5 m,2-5 m,Body contact,,,,,,,,,Less than 2 m,2-5 m,2-5 m,2-5 m,Over 5 m,Over 5 m,2-5 m,Less than 2 m,,07/28/2026 15:00:37,,methall@wisc.edu
07/28/2026 10:57 AM,Marla,Cloudy,85,0,215,Affiliative - Contact sit,Delta Dawn,225,247,Stress-Related - Self-groom,,346,404,Affiliative - Give grooming,Delta Dawn,409,414,Stress-Related - Self-scratch,,417,427,Stress-Related - Self-groom,,435,505,Affiliative - Contact sit,Delta Dawn,512,514,Stress-Related - Yawn,,537,546,Stress-Related - Self-groom,,556,637,Affiliative - Contact sit,May Lillie,558,617,Affiliative - Mutual grooming,May Lillie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rest,Rest,Social,Social,Rest,Rest,Rest,Rest,,,,,,,,,2-5 m,2-5 m,Less than 2 m,Body contact,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Body contact,Body contact,Less than 2 m,2-5 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,,07/28/2026 11:37:31,,methall@wisc.edu
07/28/2026 10:42 AM,May Lillie,Cloudy,85,118,122,Stress-Related - Vigilance,,550,553,Stress-Related - Vigilance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Less than 2 m,Less than 2 m,Less than 2 m,2-5 m,2-5 m,2-5 m,2-5 m,Less than 2 m,,,,,,,,,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,,07/28/2026 11:37:30,,methall@wisc.edu
07/28/2026 10:22 AM,Delta Dawn,Cloudy,85,1123,1131,Stress-Related - Self-groom,,1138,1325,Affiliative - Contact sit,Marla,1140,1301,Affiliative - Mutual grooming,Marla,1301,1325,Affiliative - Give grooming,Marla,1325,1500,Stress-Related - Self-groom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rest,Rest,Rest,Rest,Rest,Rest,Social,Other,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Body contact,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,2-5 m,2-5 m,,,,,,,,,,07/28/2026 11:37:29,,methall@wisc.edu
07/27/2026 10:27 AM,Marla,Cloudy,85,619,628,Stress-Related - Self-groom,,1121,1126,Stress-Related - Vigilance,,1340,1500,Stress-Related - Vigilance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Other,,,,,,,,,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,,07/27/2026 14:21:03,,methall@wisc.edu
07/27/2026 10:12 AM,May Lillie,Cloudy,85,533,556,Stress-Related - Self-groom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,,,,,,,,,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,,07/27/2026 14:21:02,,methall@wisc.edu
