Date-Time,Focal,Weather,Temperature (F),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),1,2,3,4,5,6,7,8,TLY 1,TLY 2,TLY 3,TLY 4,TLY 5,TLY 6,TLY 7,TLY 8,ART 1,ART 2,ART 3,ART 4,ART 5,ART 6,ART 7,ART 8,CJA 1,CJA 2,CJA 3,CJA 4,CJA 5,CJA 6,CJA 7,CJA 8,Notes
07/31/2026 02:30 PM,Calamity Jane,Sunny,92,242,251,Stress-Related - Vigilance,,302,309,Stress-Related - Vigilance,,309,313,Stress-Related - Self-scratch,,313,317,Stress-Related - Self-groom,,317,330,Stress-Related - Vigilance,,417,507,Stress-Related - Vigilance,,449,452,Stress-Related - Yawn,,858,907,Stress-Related - Vigilance,,948,1017,Stress-Related - Vigilance,,1028,1055,Stress-Related - Vigilance,,1040,1043,Stress-Related - Yawn,,1129,1132,Affiliative - Greet,Terri-Lynn,1134,1220,Affiliative - Mutual grooming,Terri-Lynn,1220,1228,Stress-Related - Vigilance,,1228,1250,Affiliative - Give grooming,Terri-Lynn,1250,1330,Affiliative - Mutual grooming,Terri-Lynn,1330,1353,Affiliative - Give grooming,Terri-Lynn,1355,1411,Stress-Related - Vigilance,,1418,1500,Stress-Related - Vigilance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rest,Rest,Rest,Rest,Rest,Other,Social,Other,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,Body contact,2-5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,2-5 m,,,,,,,,,
07/31/2026 02:18 PM,Artemis,Sunny,92,824,835,Stress-Related - Self-groom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,,,,,,,,,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,
07/31/2026 02:02 PM,Terri-Lynn,Sunny,92,909,919,Stress-Related - Self-groom,,919,933,Stress-Related - Vigilance,,941,943,Stress-Related - Yawn,,1038,1041,Stress-Related - Vigilance,,1111,1148,Stress-Related - Vigilance,,1245,1251,Stress-Related - Vigilance,,1334,1340,Stress-Related - Vigilance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,,,,,,,,,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,
07/27/2026 03:00 PM,Terri-Lynn,Sunny,93,0,144,Stress-Related - Vigilance,,200,213,Stress-Related - Self-groom,,213,412,Stress-Related - Vigilance,,412,415,Stress-Related - Self-groom,,415,506,Stress-Related - Vigilance,,532,546,Stress-Related - Vigilance,,654,712,Stress-Related - Vigilance,,816,824,Stress-Related - Self-groom,,824,1007,Stress-Related - Vigilance,,1007,1017,Stress-Related - Self-groom,,1017,1204,Stress-Related - Vigilance,,1209,1215,Stress-Related - Self-groom,,1215,1244,Stress-Related - Vigilance,,1244,1250,Stress-Related - Self-groom,,1257,1325,Stress-Related - Self-groom,,1330,1337,Stress-Related - Vigilance,,1340,1352,Stress-Related - Self-groom,,1352,1405,Stress-Related - Vigilance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other,Rest,Other,Other,Other,Other,,,,,,,,,Less than 2 m,2-5 m,2-5 m,2-5 m,2-5 m,Less than 2 m,2-5 m,2-5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,
07/27/2026 02:02 PM,Calamity Jane,Sunny,92,41,101,Stress-Related - Vigilance,,248,423,Stress-Related - Vigilance,,441,605,Stress-Related - Vigilance,,626,634,Stress-Related - Vigilance,,703,728,Stress-Related - Vigilance,,750,755,Stress-Related - Vigilance,,755,812,Stress-Related - Self-groom,,820,844,Affiliative - Mutual grooming,Terri-Lynn,850,854,Stress-Related - Self-scratch,,854,902,Stress-Related - Self-groom,,902,938,Stress-Related - Vigilance,,938,944,Stress-Related - Self-scratch,,944,1014,Stress-Related - Vigilance,,1014,1058,Stress-Related - Self-groom,,1104,1233,Affiliative - Contact sit,Artemis,1115,1135,Stress-Related - Self-groom,,1145,1157,Stress-Related - Vigilance,,1157,1201,Affiliative - Give grooming,Artemis,1216,1313,Stress-Related - Vigilance,,1321,1349,Affiliative - Mutual grooming,Artemis,1349,1409,Affiliative - Give grooming,Artemis,1431,1447,Affiliative - Contact sit,,1437,1500,Affiliative - Mutual grooming,Artemis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rest,Rest,Other,Other,Other,Other,Social,Social,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Body contact,Body contact,,,,,,,,,
07/27/2026 01:46 PM,Artemis,Sunny,92,0,609,Affiliative - Contact sit,Terri-Lynn,134,140,Stress-Related - Self-groom,,144,222,Affiliative - Mutual grooming,Terri-Lynn,829,831,Stress-Related - Vigilance,,938,944,Stress-Related - Vigilance,,957,1002,Stress-Related - Vigilance,,1010,1017,Stress-Related - Vigilance,,1041,1045,Stress-Related - Head throw-back,,1105,1117,Stress-Related - Self-groom,,1217,1227,Stress-Related - Vigilance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rest,Social,Rest,Rest,Rest,Other,Rest,Rest,Body contact,Body contact,Body contact,Body contact,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,,,,,,,,,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,
07/27/2026 12:23 PM,Terri-Lynn,Sunny,89,46,49,Stress-Related - Vigilance,,50,54,Stress-Related - Self-scratch,,54,117,Stress-Related - Vigilance,,135,137,Stress-Related - Vigilance,,741,821,Stress-Related - Vigilance,,1010,1015,Stress-Related - Vigilance,,1347,1404,Stress-Related - Vigilance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rest,Rest,Rest,Rest,Other,Rest,Rest,Other,,,,,,,,,2-5 m,2-5 m,2-5 m,2-5 m,Over 5 m,2-5 m,2-5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,
07/24/2026 02:56 PM,Calamity Jane,Sunny,95,1048,1056,Stress-Related - Vigilance,,1110,1129,Stress-Related - Vigilance,,1132,1136,Stress-Related - Yawn,,1136,1155,Stress-Related - Self-groom,,1155,1159,Stress-Related - Vigilance,,1159,1224,Stress-Related - Self-groom,,1229,1415,Stress-Related - Vigilance,,1235,1252,Affiliative - Contact sit,Artemis,,,,,1415,1421,Stress-Related - Self-groom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rest,Rest,Rest,Rest,Rest,Rest,Other,Other,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Over 5 m,,,,,,,,,
07/24/2026 02:41 PM,Artemis,Sunny,95,202,204,Stress-Related - Yawn,,205,211,Stress-Related - Self-groom,,546,557,Stress-Related - Vigilance,,753,756,Stress-Related - Vigilance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,,,,,,,,,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,
07/24/2026 12:53 PM,Terri-Lynn,Sunny,93,14,29,Stress-Related - Vigilance,,31,40,Stress-Related - Self-groom,,54,56,Stress-Related - Self-scratch,,107,207,Stress-Related - Vigilance,,234,329,Stress-Related - Vigilance,,332,336,Stress-Related - Self-scratch,,338,356,Stress-Related - Self-groom,,401,447,Stress-Related - Vigilance,,527,540,Stress-Related - Vigilance,,543,546,Stress-Related - Yawn,,550,609,Stress-Related - Vigilance,,817,946,Stress-Related - Vigilance,,1024,1030,Affiliative - Greet,Artemis,1035,1040,Agonistic - Displace,Artemis,1118,1130,Stress-Related - Self-groom,,1130,1146,Stress-Related - Vigilance,,1237,1500,Stress-Related - Vigilance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other,Other,Other,Locomotion,Other,Other,,,,,,,,,Less than 2 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,2-5 m,2-5 m,Over 5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,Over 5 m,Over 5 m,Over 5 m,
