Animal,Animal_id,Troop,Troop_id,Age,Sex
Autumn,AUT,Windmill,WM,21,F
Polli,POL,Windmill,WM,17,F
Chagall,CHA,Windmill,WM,17,F
Tracy Chapman,TCH,Windmill,WM,13,F
Marla,MAR,Yankee Bridge,YB,17,F
May Lillie,MLI,Yankee Bridge,YB,16,F
Delta Dawn,DDA,Yankee Bridge,YB,13,F
Delilah,DEL,East Road,ER,19,F
Pearl Hart,PHA,East Road,ER,16,F
Laurel,LAU,East Road,ER,14,F
Janis Joplin,JJO,East Road,ER,13,F
Charlie Brown,CBR,East Road,ER,18,M
Terri-Lynn,TLY,Yoke TLACJ,TLACJ,22,F
Artemis,ART,Yoke TLACJ,TLACJ,15,F
Calamity Jane,CJA,Yoke TLACJ,TLACJ,16,F
Asteria,AST,Yoke AAS,AAS,15,F
Ash,ASH,Yoke AAS,AAS,14,F
Selene,SEL,Yoke AAS,AAS,15,F
